case_id,subtype_id,share_low,share_base,share_high,count_low,count_base,count_high,assignment_method,formula,interpretation_confidence_grade,targetability_confidence_grade,model_version,run_id
PARENT-02,DOM-16-SUB-06,0.10026138821068345,0.21086119495607217,0.32146100170146086,27172.84143285943,114295.20211398936,319448.65583080973,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-03,DOM-13-SUB-01,0.376209760674891,0.5682192742455446,0.7602287878161983,25955.087598721402,130673.3864982479,437074.5358352278,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_011·P(k|x)/Σw·axis_011",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-03,DOM-13-SUB-02,0.0,0.10633610858496412,0.24698430963913676,0.0,24454.114891284196,141997.4542192807,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_011·P(k|x)/Σw·axis_011",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-03,DOM-13-SUB-03,0.10597973888776135,0.2860725053343804,0.4661652717809994,7311.648165605544,65788.09405174745,268010.0688786911,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_011·P(k|x)/Σw·axis_011",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-03,DOM-13-SUB-04,0.0,0.03937211183511091,0.1487766993285533,0.0,9054.404558720456,85535.4438614685,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_011·P(k|x)/Σw·axis_011",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24-SUB-01,0.0,0.007468546451985907,0.07370478245226397,0.0,228.29852794430522,6759.464714239739,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24-SUB-02,0.0,0.018409593944803467,0.09302304026483446,0.0,562.7444677047523,8531.141906411485,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24-SUB-03,0.0,0.04569886662309334,0.13320907321174555,0.0,1396.9229549347172,12216.602505740306,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24-SUB-04,0.42287155696107814,0.560220393247457,0.6975692295338358,3231.3730025180785,17124.816980788266,63974.065669717325,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24-SUB-05,0.23328798450768135,0.3682025997326604,0.5031172149576395,1782.670133615447,11255.217068627959,46140.873746358535,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-01,0.0,0.07151341538301147,0.18358602951823083,0.0,19381.565837103768,116096.13334673883,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-02,0.0,0.009157664526583773,0.0794092821143276,0.0,2481.910239994734,50216.8418234585,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-03,0.6481876560287878,0.797402898265505,0.9466181405022223,43917.95463423052,216112.13348791716,598622.3796907954,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-04,0.0,0.12192601581205074,0.2518986219095326,0.0,33044.38880538199,159295.65052315025,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-05,0.0,1.5332064153494682e-23,0.04573307808450833,0.0,4.155296026880129e-18,28920.68391908138,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16-SUB-06,0.0,6.012848760351867e-09,0.04574490754115802,0.0,0.0016296023292382239,28928.164630877516,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_055·P(k|x)/Σw·axis_055",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24-SUB-01,0.0,0.009771602885356452,0.15751396937831885,0.0,5973.9671399915205,216684.06362276984,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_053·P(k|x)/Σw·axis_053",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24-SUB-02,0.0,2.5795703138774254e-06,0.05288964940795351,0.0,1.5770461070921027,72757.63668791436,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_053·P(k|x)/Σw·axis_053",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24-SUB-03,0.0,8.505451477948875e-12,0.051343602496165736,0.0,5.199892815558824e-06,70630.81753200195,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_053·P(k|x)/Σw·axis_053",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24-SUB-04,0.47743969827366356,0.7774396982736635,1.0,91208.886358955,475295.53393658693,1375649.82,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_053·P(k|x)/Σw·axis_053",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24-SUB-05,0.0,0.21278611926216073,0.5127861192621608,0.0,130088.92187211459,705414.13266149,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_053·P(k|x)/Σw·axis_053",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-07,DOM-20-SUB-01,0.04916600310367365,0.12367582641417625,0.19818564972467884,22613.411467503658,170650.37880280867,592497.8002733971,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_002·P(k|x)/Σw·axis_002",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-07,DOM-20-SUB-02,0.6061957590285777,0.6971821947441139,0.7881686304596501,278813.677407604,961985.9359518233,2356316.8193084747,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_002·P(k|x)/Σw·axis_002",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-07,DOM-20-SUB-03,0.0977691237912474,0.17914197884171,0.26051483389217256,44967.93079654633,247183.68524536805,778837.752552378,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_002·P(k|x)/Σw·axis_002",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-08,DOM-17-SUB-01,0.0,0.04984740573260289,0.16735048500779637,0.0,27019.28780330007,181421.3137872519,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_051·P(k|x)/Σw·axis_051",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-08,DOM-17-SUB-02,0.6673085579143199,0.8325132861892868,0.9977180144642537,120569.31024395932,451255.501646041,1081606.1451204082,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_051·P(k|x)/Σw·axis_051",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-08,DOM-17-SUB-03,0.0,0.11763930807811036,0.26715705167025233,0.0,63765.21055065894,289619.6165746871,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_051·P(k|x)/Σw·axis_051",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10-SUB-01,0.508627684613958,0.8079523038060534,1.0,61378.64584078938,389998.577047182,1126300.0,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_001·P(k|x)/Σw·axis_001",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10-SUB-02,0.0,0.0003069620849815088,0.07713159304517282,0.0,148.1705984205743,86873.31324677815,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_001·P(k|x)/Σw·axis_001",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10-SUB-03,0.0,0.17880447077079809,0.4717909916969866,0.0,86308.91804106423,531378.1939483159,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_001·P(k|x)/Σw·axis_001",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10-SUB-04,0.0,2.0293786666513075e-08,0.06655351988915782,0.0,0.009795810823925862,74959.22945115846,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_001·P(k|x)/Σw·axis_001",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10-SUB-05,0.0,0.01293624304438027,0.1462038387969453,0.0,6244.3245175223565,164669.38363699947,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_001·P(k|x)/Σw·axis_001",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07-SUB-01,0.0,4.514714963263994e-08,0.05063131160862159,0.0,0.1783452962595514,444465.4297644117,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_049·P(k|x)/Σw·axis_049",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07-SUB-02,0.12480137203506164,0.42480137203506163,0.7248013720350617,136945.63130600983,1678097.6687016354,6362646.810448078,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_049·P(k|x)/Σw·axis_049",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07-SUB-03,0.0,7.1904615773845825e-06,0.052803003922605084,0.0,28.404561765167372,463529.56472326943,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_049·P(k|x)/Σw·axis_049",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07-SUB-04,0.254837498690692,0.554837498690692,0.8548374986906919,279635.4043995349,2191780.8518383256,7504164.995196278,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_049·P(k|x)/Σw·axis_049",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07-SUB-05,0.0,0.020353893665519273,0.19459345008377127,0.0,80404.21655297754,1708232.6859195034,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_049·P(k|x)/Σw·axis_049",E,E,kr-v0.2.1,RUN-P2-20260824T170416Z
